Position	Player	Club	Age	Caps	Goals
Goalkeeper	Franco Armani	River Plate (ARG)	36	18	0
Goalkeeper	Emiliano Martinez	Aston Villa (ENG)	30	19	0
Goalkeeper	Geronimo Rulli	Villarreal (SPA)	30	4	0
Defender	Marcos Acuna	Sevilla (SPA)	30	43	0
Defender	Juan Foyth	Villarreal (SPA)	24	16	0
Defender	Lisandro Martinez	Man United (ENG)	24	10	0
Defender	Nahuel Molina	Atletico Madrid (SPA)	24	20	0
Defender	Gonzalo Montiel	Sevilla (SPA)	25	18	0
Defender	Nicolas Otamendi	Benfica (POR)	34	93	4
Defender	German Pezzella	Real Betis (SPA)	31	32	2
Defender	Cristian Romero	Tottenham (ENG)	24	12	1
Defender	Nicolas Tagliafico	Lyon (FRA)	30	42	0
Midfielder	Rodrigo De Paul	Atletico Madrid (SPA)	28	44	2
Midfielder	Enzo Fernandez	Benfica (POR)	21	3	0
Midfielder	Alejandro 'Papu' Gomez	Sevilla (SPA)	34	15	3
Midfielder	Alexis Mac Allister	Brighton (ENG)	23	8	0
Midfielder	Exequiel Palacios	Bayer Leverkusen (GER)	24	20	0
Midfielder	Leandro Paredes	Juventus (ITA)	28	46	4
Midfielder	Guido Rodriguez	Real Betis (SPA)	28	26	1
Forward	Julian Alvarez	Man City (ENG)	22	12	3
Forward	Thiago Almada	Atlanta (USA)	21	1	0
Forward	Angel Di Maria	Juventus (ITA)	34	124	27
Forward	Paulo Dybala	AS Roma (ITA)	28	34	3
Forward	Angel Correa	Atletico Madrid (SPA)	27	22	3
Forward	Lautaro Martinez	Inter Milan (ITA)	25	40	21
Forward	Lionel Messi	PSG (FRA)	35	165	91
