Position	Player	Club	Age	Caps	Goals
Goalkeeper	Thibaut Courtois	Real Madrid (SPA)	30	96	0
Goalkeeper	Simon Mignolet	Club Brugge (BEL)	34	35	0
Goalkeeper	Koen Casteels	Wolfsburg (GER)	30	4	0
Defender	Toby Alderweireld	Royal Antwerp (BEL)	33	123	5
Defender	Arthur Theate	Stade Rennes (FRA)	22	3	0
Defender	Wout Faes	Leicester City (ENG)	24	1	0
Defender	Jan Vertonghen	Anderlecht (BEL)	35	141	9
Defender	Thomas Meunier	Borussia Dortmund (GER)	31	58	8
Defender	Timothy Castagne	Leicester City (ENG)	26	25	2
Defender	Zeno Debast	Anderlecht (BEL)	18	2	0
Midfielder	Kevin de Bruyne	Man City (ENG)	31	93	25
Midfielder	Hans Vanaken	Club Brugge (BEL)	30	22	5
Midfielder	Youri Tielemans	Leicester City (ENG)	25	54	5
Midfielder	Leander Dendoncker	Aston Villa (ENG)	27	29	1
Midfielder	Amadou Onana	Everton (ENG)	21	2	0
Midfielder	Yannick Carrasco	Atletico Madrid (SPA)	29	59	8
Midfielder	Axel Witsel	Atletico Madrid (SPA)	33	126	12
Midfielder	Charles de Ketelaere	AC Milan (ITA)	21	10	1
Midfielder	Leandro Trossard	Brighton (ENG)	27	21	5
Midfielder	Thorgan Hazard	Borussia Dortmund (GER)	29	45	9
Forward	Romelu Lukaku	Inter Milan (ITA)	29	102	68
Forward	Michy Batshuayi	Fenerbahce (TUR)	29	47	26
Forward	Dries Mertens	Galatasaray (TUR)	35	106	21
Forward	Eden Hazard	Real Madrid (SPA)	31	122	33
Forward	Lois Openda	Lens (FRA)	22	4	1
Forward	Jeremy Doku	Stade Rennes (FRA)	20	10	2
