Position	Player	Club	Age	Caps	Goals
GK	Milan Borjan	Red Star Belgrade (SRB)	35	67	0
GK	James Pantemis	CF Montreal (CAN)	25	0	0
GK	Dayne St. Clair	Minnesota United (USA)	25	2	0
DEF	Sam Adekugbe	Hatayspor (TUR)	27	33	1
DEF	Derek Cornelius	Panetolikos (GRE)	24	14	0
DEF	Alistair Johnston	CF Montreal (CAN)	24	29	1
DEF	Richie Laryea	Toronto FC (CAN)	27	33	1
DEF	Kamal Miller	CF Montreal (CAN)	25	28	0
DEF	Steven Vitoria	GD Chaves (POR)	35	34	3
DEF	Joel Waterman	CF Montreal (CAN)	26	1	0
MID	Stephen Eustaquio	FC Porto (POR)	25	26	3
MID	Liam Fraser	KMSK Deinze (BEL)	24	15	0
MID	Atiba Hutchinson	Besiktas (TUR)	39	97	9
MID	Mark-Anthony Kaye	Toronto FC (CAN)	27	37	2
MID	Ismael Kone	CF Montreal (CAN)	20	5	1
MID	Jonathan Osorio	Toronto FC (CAN)	30	56	7
MID	Samuel Piette	CF Montreal (CAN)	28	65	0
MID	David Wotherspoon	St. Johnstone (SCO)	32	10	1
FWD	Tajon Buchanan	Club Brugge (BEL)	23	25	4
FWD	Lucas Cavallini	Vancouver Whitecaps (CAN)	29	33	17
FWD	Jonathan David	LOSC Lille (FRA)	22	34	22
FWD	Alphonso Davies	Bayern Munich (GER)	22	34	12
FWD	Junior Hoilett	Reading FC (ENG)	32	49	14
FWD	Cyle Larin	Club Brugge (BEL)	27	54	25
FWD	Liam Millar	FC Basel (SWI)	23	16	0
FWD	Ike Ugbo	Troyes (FRA)	24	8	0
