Position	Player	Club	Age	Caps	Goals
Goalkeeper	Manuel Neuer	Bayern Munich (GER)	36	114	0
Goalkeeper	Marc-Andre ter Stegen	Barcelona (SPA)	30	30	0
Goalkeeper	Kevin Trapp	Eintracht Frankfurt (GER)	32	6	0
Defender	Armel Bella-Kotchap	Southampton (ENG)	20	2	0
Defender	Mattias Ginter	SC Freiburg (GER)	28	47	2
Defender	Christian Gunter	Freiburg (GER)	29	7	0
Defender	Thilo Kehrer	West Ham (ENG)	26	23	0
Defender	Lukas Klostermann	RB Leipzig (GER)	26	19	0
Defender	David Raum	RB Leipzig (GER)	24	12	0
Defender	Antonio Rudiger	Real Madrid (SPA)	29	54	2
Defender	Nico Schlotterbeck	Borussia Dortmund (GER)	22	6	0
Defender	Niklas Sule	Borussia Dortmund (GER)	27	42	1
Midfielder	Julian Brandt	Borussia Dortmund (GER)	26	39	3
Midfielder	Leon Goretzka	Bayern Munich (GER)	27	45	14
Midfielder	Ilkay Gundogan	Manchester City (ENG)	31	63	16
Midfielder	Mario Gotze	Eintracht Frankfurt (GER)	30	63	17
Midfielder	Jonas Hofmann	B. Monchengladbach (GER)	30	17	4
Midfielder	Joshua Kimmich	Bayern Munich (GER)	27	71	5
Midfielder	Jamal Musiala	Bayern Munich (GER)	19	17	1
Forward	Youssoufa Moukoko	Borussia Dortmund (GER)	17	0	1
Forward	Karim Adeyemi	Borussia Dortmund (GER)	20	4	1
Forward	Niclas Fullkrug	Werder Bremen (GER)	29	0	1
Forward	Serge Gnabry	Bayern Munich (GER)	27	36	20
Forward	Kai Havertz	Chelsea (ENG)	23	31	10
Forward	Thomas Muller	Bayern Munich (GER)	33	118	44
Forward	Leroy Sane	Bayern Munich (GER)	26	48	11
