Position	Player	Club	Age	Caps	Goals
Goalkeeper	Amir Abedzadeh	Ponferradina (SPA)	29	11	0
Goalkeeper	Alireza Beiranvand	Persepolis (IRA)	30	53	0
Goalkeeper	Hossein Hosseini	Esteghlal (IRA)	30	7	1
Goalkeeper	Payam Niazmand	Persepolis (IRA)	27	1	0
Defender	Rouzbeh Cheshmi	Esteghlal (IRA)	34	19	1
Defender	Ehsan Hajsafi	AEK Athens (GRE)	30	122	7
Defender	Majid Hosseini	Kayserispor (TUR)	26	18	0
Defender	Abolfazl Jalali	Esteghlal (IRA)	25	3	0
Defender	Hossein Kanaani	Al Ahli (QAT)	27	35	2
Defender	Shoja Khalilzadeh	Al Ahli (QAT)	25	24	1
Defender	Milad Mohammadi	AEK Athens (GRE)	28	45	1
Defender	Sadegh Moharrami	Dinamo Zagreb (CRO)	27	21	2
Defender	Morteza Pouraliganji	Persepolis (IRA)	26	46	3
Defender	Ramin Rezaeian	Sepahan (IRA)	32	46	2
Midfielder	Vahid Amiri	Persepolis (IRA)	34	67	2
Midfielder	Saeid Ezatolahi	Vejle (DEN)	26	47	1
Midfielder	Saman Ghoddos	Brentford (ENG)	29	33	2
Midfielder	Ali Gholizadeh	Charleroi (BEL)	26	26	6
Midfielder	Alireza Jahanbakhsh	Feyenoord (NED)	29	64	13
Midfielder	Ali Karimi	Kayserispor (TUR)	28	13	0
Midfielder	Ahmad Nourollahi	Shabab Al Ahli (UAE)	29	27	3
Midfielder	Mehdi Torabi	Persepolis (IRA)	28	36	7
Forward	Karim Ansarifard 	Omonia Nicosia (CYP)	32	95	29
Forward	Sardar Azmoun	Bayer Leverkusen (GER)	27	65	41
Forward	Mehdi Taremi	Porto (POR)	30	60	27
