Position	Player	Club	Age	Caps	Goals
Goalkeeper	Eiji Kawashima	Strasbourg (FRA)	39	95	0
Goalkeeper	Shuichi Gonda	Shimizu S-Pulse (JPN)	33	34	0
Goalkeeper	Daniel Schmidt	Sint-Truiden (BEL) 	30	11	0
Defender	Yuto Nagatomo	Tokyo (JPN)	36	138	4
Defender	Maya Yoshida	Schalke (GER)	34	122	12
Defender	Hiroki Sakai	Urawa Red Diamonds (JPN) 	32	72	1
Defender	Takehiro Tomiyasu	Arsenal (ENG)	23	29	1
Defender	Miki Yamane	Kawasaki Frontale (JPN)	28	15	2
Defender	Shogo Taniguchi	Kawasaki Frontale (JPN)	31	14	0
Defender	Ko Itakura	Borussia Monchengladbach (GER)	25	13	1
Defender	Hiroki Ito	Stuttgart (GER)	23	6	0
Midfielder	Gaku Shibasaki	Leganes (SPA)	30	60	3
Midfielder	Wataru Endo	Stuttgart (GER)	29	43	2
Midfielder	Takumi Minamino	Monaco (FRA)	27	44	17
Midfielder	Junya Ito	Reims (FRA)	29	38	9
Midfielder	Ritsu Doan	Freiburg (GER)	24	29	3
Midfielder	Daichi Kamada	Eintracht Frankfurt (GER)	26	22	6
Midfielder	Takefusa Kubo	Real Sociedad (SPA)	21	20	1
Midfielder	Hidemasa Morita	Sporting (POR)	27	17	2
Midfielder	Ao Tanaka	Fortuna Dusseldorf (GER)	24	15	2
Midfielder	Kaoru Mitoma	Brighton (ENG)	25	9	5
Midfielder	Yuki Soma	Nagoya Grampus (JPN)	25	8	4
Forward	Takuma Asano	Bochum (GER)	27	37	7
Forward	Ayase Ueda	Club Brugge (BEL)	24	11	0
Forward	Daizen Maeda	Celtic (SCO)	25	8	1
Forward	Shuto Machino	Shonan Bellmare (JPN)	23	4	3
