Position	Player	Club	Age	Caps	Goals
Goalkeeper	Rodolfo Cota	Club Leon (MEX)	35	8	0
Goalkeeper	Guillermo Ochoa	Club America (MEX)	37	132	0
Goalkeeper	Alfredo Talavera	FC Juarez (MEX)	40	40	0
Defender	Kevin Alvarez	Pachuca (MEX)	23	8	0
Defender	Nestor Araujo	Club America (MEX)	31	63	3
Defender	Gerardo Arteaga	Genk (BEL)	24	17	1
Defender	Jesus Gallardo	Monterrey (MEX)	28	79	1
Defender	Cesar Montes	Monterrey (MEX)	25	41	1
Defender	Hector Moreno	Monterrey (MEX)	34	128	5
Defender	Jorge Sanchez	Ajax (NED)	24	26	1
Defender	Johan Vasquez	Cremonese (ITA)	23	7	0
Midfielder	Edson Alvarez	Ajax (NED)	24	59	3
Midfielder	Luis Chavez	Pachuca (MEX)	26	9	0
Midfielder	Andres Guardado	Real Betis (SPA)	36	180	28
Midfielder	Erik Gutierrez	PSV (NED)	27	34	1
Midfielder	Hector Herrera	Houston Dynamo (USA)	32	103	10
Midfielder	Orbelin Pineda	AEK Athens (GRE)	26	50	6
Midfielder	Carlos Rodriguez	Cruz Azul (MEX)	25	37	0
Midfielder	Luis Romo	Monterrey (MEX)	27	27	1
Forward	Roberto Alvarado	Chivas (MEX)	24	32	4
Forward	Uriel Antuna	Cruz Azul (MEX)	25	37	10
Forward	Rogelio Funes Mori	Monterrey (MEX)	31	16	6
Forward	Raul Jimenez	Wolves (ENG)	31	97	29
Forward	Hirving Lozano	Napoli (ITA)	27	60	16
Forward	Henry Martin	Club America (MEX)	29	27	6
Forward	Alexis Vega	Chivas (MEX)	24	23	6
