Position	Player	Club	Age	Caps	Goals
Goalkeeper	Saad Al-Sheeb	Al Sadd (QAT)	32	80	0
Goalkeeper	Meshaal Barsham	Al Sadd (QAT)	24	15	0
Goalkeeper	Yousuf Hassan	Al Gharafa (QAT)	26	9	0
Defender	Pedro Miguel	Al Sadd (QAT)	32	78	1
Defender	Musaab Khidir	Al Sadd (QAT)	29	29	0
Defender	Tarek Salman	Al Sadd (QAT)	24	54	0
Defender	Bassam Al Rawi	Al Duhail (QAT)	24	51	2
Defender	Boualem Khoukhi	Al Sadd (QAT)	32	105	20
Defender	Abdelkarim Hassan	Al Sadd (QAT)	29	120	15
Defender	Ismaeel Mohammad	Al Duhail (QAT)	32	66	4
Defender	Homam Ahmed Al Amin	Al Gharafa (QAT)	23	27	2
Defender	Jassim Jabir	Al Arabi (QAT)	20	0	0
Midfielder	Ali Asad	Al Sadd (QAT)	29	56	12
Midfielder	Assim Madibo	Al Duhail (QAT)	26	43	0
Midfielder	Mohammed Waad	Al Sadd (QAT)	23	20	0
Midfielder	Salem Al-Hajri	Al Sadd (QAT)	26	23	0
Midfielder	Mustafa Meshaal Tarek	Al Sadd (QAT)	21	1	0
Midfielder	Karim Boudiaf	Al Duhail (QAT)	32	108	5
Midfielder	Abdulaziz Hatim	Al Rayyan (QAT)	32	96	11
Forward	Naif Al-Hadhrami	Al Rayyan (QAT)	21	1	0
Forward	Ahmed Alaaeldin	Al Gharafa (QAT)	29	45	1
Forward	Hassan Al-Haydos	Al Sadd (QAT)	31	160	34
Forward	Akram Afif	Al Sadd (QAT)	25	83	24
Forward	Almoez Ali	Al Duhail (QAT)	26	82	39
Forward	Mohammed Muntari	Al Duhail (QAT)	28	41	11
Forward	Khalid Muneer	Al Wakrah (QAT)	24	3	1
