Position	Player	Club	Age	Caps	Goals
Goalkeeper	Edouard Mendy	Chelsea (ENG)	30	25	0
Goalkeeper	Alfred Gomis	Rennes (FRA)	29	14	0
Goalkeeper	Seny Dieng 	QPR (ENG)	27	4	0
Defender	Kalidou Koulibaly	Chelsea (ENG) 	31	64	0
Defender	Pape Abou Cisse	Olympiacos (GRE)	27	13	1
Defender	Abdou Diallo 	RB Leipzig (GER)	26	18	0
Defender	Fode Ballo-Toure	AC Milan (ITA)	25	14	0
Defender	Formose Mendy	Amiens (FRA)	21	2	0
Defender	Ismail Jakobs	Monaco (FRA)	23	2	0
Defender	Youssouf Sabaly	Real Betis (SPA)	29	24	0
Midfielder	Idrissa Gueye 	Everton (ENG)	33	96	7
Midfielder	Cheikhou Kouyate	Nottingham Forest (ENG) 	32	82	4
Midfielder	Nampalys Mendy	Leicester City (ENG)	30	19	0
Midfielder	Pape Gueye 	Marseille (FRA) 	23	12	0
Midfielder	Pape Matar Sarr	Tottenham (ENG) 	20	10	0
Midfielder	Mamadou Loum N'Diaye	Reading (ENG)	25	3	0
Midfielder	Moustapha Name	Pafos (CYP)	27	6	0
Midfielder	Pathe Ciss	Rayo Vallecano (SPA)	28	1	0
Forward	Sadio Mane	Bayern Munich (GER)	30	93	34
Forward	Ismalia Sarr	Watford (ENG)	24	48	10
Forward	Boulaye Dia	Salernitana (ITA) 	25	19	2
Forward	Bamba Dieng	Marseille (FRA)	22	1	0
Forward	Iliman Ndiaye	Sheffield United (ENG)	27	2	0
Forward	Famara Diedhou	Alanyaspor (TUR)	29	25	10
Forward	Krepin Diatta 	Monaco (FRA) 	23	26	2
Forward	Nicolas Jackson	Villarreal (SPA)	21	0	0
