Position	Player	Club	Age	Caps
Goalkeeper	Kim Seung-gyu	Al Shabab (KSA)	32	66
Goalkeeper	Song Bum-keun	Jeonbuk Hyundai (KOR)	25	1
Goalkeeper	Jo Hyeon-woo	Ulsan Hyundai (KOR)	31	22
Defender	Kwon Kyung-won	Gamba Osaka (JAP)	30	27
Defender	Kim Moon-hwan	Jeonbuk Hyundai (KOR)	27	21
Defender	Kim Min-jae	Napoli (ITA)	25	44
Defender	Kim Young-gwon	Ulsan Hyundai (KOR)	32	95
Defender	Kim Jin-su	Jeonbuk Hyundai (KOR)	30	61
Defender	Kim Taehwan	Ulsan Hyundai (KOR)	33	18
Defender	Yoon Jong-gyu	FC Seoul (KOR)	24	3
Defender	Cho Yu-min	Daejeon (KOR)	25	3
Midfielder	Hong Chul	Daegu FC (KOR)	32	46
Midfielder	Kwon Chang-hoon	Gimcheon Sangmu (KOR)	28	41
Midfielder	Na Sang-ho	FC Seoul (KOR)	26	23
Midfielder	Paik Seungho	Jeonbuk Hyundai (KOR)	25	13
Midfielder	Son Jun-ho	Shandong Taishan (CHN)	30	14
Midfielder	Son Heung-min	Tottenham Hotspur (ENG)	30	105
Midfielder	Son Mink-yu	Jeonbuk Hyundai (KOR)	23	2
Midfielder	Lee Kang-in	Mallorca (SPA)	21	5
Forward	Lee Jae-sung	Mainz 05 (GER)	30	64
Forward	Jung Wooyoung	Al-Sadd (QAT)	32	66
Forward	Jeon Woo-yeong	SC Freiburg (GER)	23	9
Forward	Hwang In-beom	Olympiacos (GRE)	26	37
Forward	Hwang Hee-han	Wolves (ENG)	26	49
Forward	Cho Gue-sung	Jeonbuk Hyundai (KOR)	24	15
Forward	Hwang Ui-jo	Olympiacos (GRE)	30	39
