Position	Player	Club	Age	Caps	Goals
Goalkeeper	David Raya	Brentford (ENG)	27	2	0
Goalkeeper	Robert Sanchez 	Brighton (ENG)	24	2	0
Goalkeeper	Unai Simon	Athletic Bilbao (SPA)	25	27	0
Defender	Jordi Alba 	Barcelona (SPA)	33	87	10
Defender	Hugo Guillamon	Valencia (SPA)	22	3	1
Defender	Cesar Azpilicueta	Chelsea (ENG)	33	42	1
Defender	Dani Carvajal 	Real Madrid (SPA)	30	31	0
Defender	Eric Garcia	Barcelona (SPA)	21	19	0
Defender	Jose Gaya	Valencia (SPA)	27	18	3
Defender	Aymeric Laporte	Manchester City (ENG)	28	16	1
Defender	Pau Torres	Villarreal (SPA)	25	22	1
Midfielder	Sergio Busquets	Barcelona (SPA)	36	139	2
Midfielder	Gavi	Barcelona (SPA)	18	13	2
Midfielder	Koke	Atletico Madrid (SPA)	30	68	0
Midfielder	Marcos Llorente 	Atletico Madrid (SPA) 	27	17	0
Midfielder	Pedri	Barcelona (SPA)	19	14	0
Midfielder	Rodri	Manchester City (ENG)	26	35	1
Midfielder	Carlos Soler	PSG (FRA)	25	12	3
Midfielder	Dani Olmo	RB Leipzig (GER)	24	25	4
Forward	Marco Asensio	Real Madrid (SPA)	26	31	1
Forward	Ansu Fati	Barcelona (SPA)	19	5	2
Forward	Alvaro Morata 	Atletico Madrid (SPA)	29	57	27
Forward	Yeremi Pino	Villarreal (SPA)	20	7	1
Forward	Ferran Torres	Barcelona (SPA)	22	31	13
Forward	Nico Williams	Athletic Bilbao (SPA)	20	3	1
Forward	Pablo Sarabia	Paris Saint-Germain (FRA)	30	25	9
