Position	Player	Club	Age	Caps	Goals
Goalkeeper	Fernando Muslera	Galatasaray (TUR)	36	133	0
Goalkeeper	Sergio Rochet	Nacional (URU)	29	8	0
Goalkeeper	Sebastian Sosa	Independiente (ARG)	36	1	0
Defender	Ronald Araujo	Barcelona (ESP)	23	12	0
Defender	Martin Caceres	LA Galaxy (USA)	35	115	4
Defender	Sebastian Coates	Sporting CP (POR)	32	47	1
Defender	Jose Maria Gimenez	Atletico Madrid (ESP)	27	78	8
Defender	Diego Godin	Velez Sarsfield (ARG)	36	159	8
Defender	Mathias Olivera	Napoli (ITA)	24	8	0
Defender	Jose Luis Rodriguez	Nacional (URU)	25	0	0
Defender	Guillermo Varela	Flamengo (BRA)	29	9	0
Defender	Matias Vina	AS Roma (ITA)	24	26	0
Midfielder	Rodrigo Bentancur	Tottenham (ENG)	25	51	1
Midfielder	Nicolas De La Cruz	River Plate (ARG)	25	17	2
Midfielder	Facundo Pellistri	Manchester United (ENG)	20	7	0
Midfielder	Lucas Torreira	Galatasaray (TUR)	26	40	0
Midfielder	Manuel Ugarte	Sporting (POR)	21	6	0
Midfielder	Federico Valverde	Real Madrid (ESP)	24	44	4
Midfielder	Matias Vecino	Lazio (ITA)	31	62	4
Forward	Agustin Canobbio	Athletico Paranaense (BRA)	24	3	0
Forward	Edinson Cavani	Valencia (ESP)	35	133	58
Forward	Giorgian De Arrascaeta	Flamengo (BRA)	28	40	8
Forward	Maxi Gomez	Trabzonspor (TUR)	26	27	4
Forward	Darwin Nunez	Liverpool (ENG)	23	13	3
Forward	Luis Suarez	Nacional (URU)	35	134	68
Forward	Facundo Torres	Orlando City (USA)	22	10	0
