Position	Player	Club	Age	Caps	Goals
Goalkeeper	Ethan Horvath	Luton Town (ENG)	27	20	0
Goalkeeper	Sean Johnson	NYCFC (USA)	33	10	0
Goalkeeper	Matt Turner	Arsenal (ENG)	28	20	0
Defender	Tim Ream	Fulham (ENG)	35	46	1
Defender	Cameron Carter-Vickers	Celtic (SCO)	24	11	0
Defender	Sergino Dest	AC Milan (ITA)	21	19	2
Defender	Aaron Long	NY Red Bulls (USA)	30	29	3
Defender	Shaq Moore	Nashville SC (USA)	26	15	1
Defender	Antonee Robinson	Fulham (ENG)	25	29	2
Defender	Joe Scally	Gladbach (GER)	19	3	0
Defender	DeAndre Yedlin	Inter Miami (USA)	29	75	0
Defender	Walker Zimmerman	Nashville SC (USA)	29	33	3
Midfielder	Kellyn Acosta	LAFC (USA)	27	53	2
Midfielder	Tyler Adams	Leeds United (ENG)	23	32	1
Midfielder	Weston McKennie	Juventus (ITA)	24	37	9
Midfielder	Yunus Musah	Valencia (SPA)	19	19	0
Midfielder	Cristian Roldan	Seattle Sonders (USA)	27	32	0
Midfielder	Brenden Aaronson	Leeds United (ENG)	21	24	6
Midfielder	Luca de la Torre	Celta Vigo (SPA)	24	12	0
Forward	Gio Reyna	Borussia Dortmund (GER)	19	14	4
Forward	Jesus Ferreira	FC Dallas (USA)	21	15	7
Forward	Jordan Morris	Seattle Sounders (USA)	27	49	11
Forward	Haji Wright	Antalyaspor (TUR)	24	3	1
Forward	Christian Pulisic	Chelsea (ENG)	24	52	21
Forward	Josh Sargent	Norwich City (ENG)	22	20	5
Forward	Timothy Weah	LOSC Lille (FRA)	22	25	3
